25.113688, 1.165396, 1.203006, 1.000000, 0.191815, 27.580232, 0.459045, -2.115000, -1.000000, 12.390248, -0.013487, 2.965180, 1.216493, 2.101513, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
38.333277, 0.935612, -2.154269, -1.000000, 0.853548, 29.004029, 0.710105, 0.780448, 1.000000, 4.244625, 1.294437, 2.934717, 2.834479, 0.513989, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
35.198879, 0.933319, -2.497027, 1.000000, 0.350248, 44.552578, -0.698515, 0.180439, -1.000000, 27.188939, -1.473988, 2.677466, 1.023039, 1.654427, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
26.538625, 0.901850, 0.822846, -1.000000, 0.345509, 28.161564, -0.481410, 2.893373, 1.000000, 33.682326, -1.577697, 2.070527, 2.400543, 1.812115, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
25.920771, -0.620987, -2.764944, 1.000000, 0.332801, 52.335676, 0.308939, 2.553221, 1.000000, 74.877375, -0.266493, 0.965020, 2.498451, 2.819714, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
41.303539, -1.969665, 2.154846, 1.000000, 0.211787, 38.217953, -1.198092, -0.317306, -1.000000, 9.703262, 1.324046, 2.472152, 0.830800, 1.641352, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
29.856793, 0.818337, 0.142562, 1.000000, 0.957969, 77.530625, -2.065516, -2.367678, -1.000000, 54.740912, 1.034294, 2.510240, 0.891732, 2.881213, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
40.107711, -0.755307, 0.052496, 1.000000, 0.293243, 58.388797, -1.729824, 2.772537, -1.000000, 17.166099, -0.094295, 2.720041, 0.146792, 2.866832, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
32.086816, 2.345198, 2.978031, -1.000000, 0.364983, 29.847135, -1.182438, 1.191856, 1.000000, 41.336834, -0.875317, 1.786176, 2.429837, 2.067173, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
30.324670, -0.147130, -0.474915, 1.000000, 0.293982, 75.711023, -2.424648, 2.400504, 1.000000, 46.525352, -0.522475, 2.875419, 0.047559, 2.922979, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
36.395625, -1.661221, -2.196740, -1.000000, 0.256117, 45.528223, -2.279782, 0.798377, 1.000000, 40.444448, 3.100366, 2.995117, 0.986079, 2.301989, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
32.753713, 0.466741, -0.722594, 1.000000, 0.282802, 27.952523, -0.490672, 2.333838, -1.000000, 20.336213, 2.333529, 3.056432, 3.056123, 0.000309, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
33.016566, -0.011409, 0.758517, -1.000000, 0.180367, 44.305520, 0.784706, -2.233635, 1.000000, 6.553414, 0.108442, 2.992152, 0.650075, 2.342077, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
27.250248, -0.409949, 2.427779, -1.000000, 0.167202, 35.892164, 0.682640, -0.951353, 1.000000, 6.967616, 1.773572, 2.904053, 0.654207, 2.724925, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
25.084988, -1.255860, 1.768109, -1.000000, 0.498677, 34.857344, 2.415070, -1.690740, 1.000000, 40.547111, 2.222913, 2.824337, 0.454804, 2.369532, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
43.208832, -0.875800, 1.850886, -1.000000, 0.254688, 37.718848, -0.832770, -2.774433, 1.000000, 66.360352, -1.027647, 1.657867, 2.878533, 1.746786, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
28.487932, 2.085329, 2.397893, 1.000000, 0.523015, 26.334707, 0.569926, -0.930973, -1.000000, 7.107851, 0.477614, 2.954319, 1.920279, 1.408587, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
26.259268, -2.242651, 2.183753, 1.000000, 0.179045, 38.897402, -1.629616, -1.710263, 1.000000, 30.039090, 0.802799, 2.389169, 1.380954, 2.513062, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
30.557602, -0.586198, 0.351385, 1.000000, 0.397963, 36.879527, -1.165913, -2.816130, -1.000000, 16.477959, 0.709026, 3.115671, 0.357641, 2.758029, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
36.811727, -0.098579, -0.697860, -1.000000, 0.151932, 38.784219, 1.471949, -1.773578, 1.000000, 44.037774, 1.794497, 1.075718, 2.492358, 2.715109, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
28.691703, -0.868572, -1.228513, -1.000000, 0.425548, 43.602094, -2.164540, -0.294848, 1.000000, 60.858959, 2.484050, 0.933665, 2.570622, 2.778898, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
60.596520, 0.936216, -1.216976, 1.000000, 0.383521, 30.528049, 1.548952, 2.080507, -1.000000, 53.670738, 1.732688, 2.985702, 2.949664, 0.347820, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
29.685479, 1.243376, -2.882314, -1.000000, 0.421180, 31.114664, 1.615224, -0.109182, 1.000000, 16.176246, -3.058761, 2.773132, 0.176447, 2.949579, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
45.641047, 2.006001, 2.893990, -1.000000, 0.410064, 30.159488, 1.431038, -0.866470, 1.000000, 11.903037, 0.403238, 2.522726, 2.490752, 1.269708, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
29.699305, -0.351415, -1.558962, 1.000000, 0.980619, 32.785930, -0.880210, 1.533597, -1.000000, 11.053939, -0.748463, 3.092559, 0.810499, 2.282060, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
48.224430, -0.444422, 0.313449, 1.000000, 0.425384, 34.224996, 0.218384, -3.113200, 1.000000, 24.675444, -2.520138, 2.856536, 2.833587, 0.593062, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
65.920180, -2.462582, 1.332119, -1.000000, 0.289255, 121.547609, -0.910848, -1.773802, 1.000000, 57.814187, 1.218001, 3.105922, 0.114118, 2.991803, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
25.473537, -0.830329, 2.608698, -1.000000, 0.611205, 33.611879, -1.115016, -0.343785, 1.000000, 60.510239, -2.384668, 2.952483, 1.289819, 2.040883, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
29.178168, 1.074268, -0.538966, 1.000000, 0.263857, 39.558285, 2.196009, -0.913599, 1.000000, 78.435191, 2.281005, 0.374633, 2.819971, 3.088581, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
37.187273, 0.430648, 1.235017, 1.000000, 0.707116, 36.237070, 0.407477, -2.146073, -1.000000, 9.242978, -0.958989, 2.902095, 2.194005, 1.187085, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
26.687967, -0.288764, 1.287089, 1.000000, 0.272578, 58.664379, -0.533671, -1.907941, -1.000000, 50.237930, 1.256698, 3.088155, 0.030391, 3.118547, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
42.308844, 0.560808, 3.044436, 1.000000, 0.289030, 28.783721, 2.459985, 1.718602, -1.000000, 35.307965, -0.958028, 1.325834, 2.280721, 2.676630, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
47.125180, -0.415818, 1.407996, 1.000000, 0.211420, 41.209758, -1.417006, -1.160246, 1.000000, 11.375745, -1.388970, 2.568242, 2.796967, 0.228724, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
36.590152, 0.162711, 0.611679, 1.000000, 0.153160, 42.321695, 1.356428, -2.469317, -1.000000, 18.854226, 0.755140, 3.080996, 0.143462, 3.058728, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
27.237596, -1.085391, 0.251027, 1.000000, 0.652097, 42.980719, 1.473031, -0.029354, -1.000000, 54.030637, -2.756909, 0.280381, 3.007935, 2.727555, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
36.512691, 1.212458, -0.322406, -1.000000, 0.362306, 39.723773, -0.616528, 0.532392, -1.000000, 18.187430, -1.726496, 0.854798, 1.404090, 2.258888, 0, Passed, Passed, Passed, NOPASS, Passed, Passed
27.257664, 0.343137, -2.151498, 1.000000, 0.902787, 30.027373, 0.144329, 0.818602, -1.000000, 4.285887, -2.270169, 2.970100, 0.118670, 3.088770, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
44.804109, 1.744806, 0.818112, 1.000000, 0.171878, 54.439152, -1.421804, -2.439296, -1.000000, 8.672196, 0.867271, 3.025777, 0.049159, 2.976619, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
27.932342, 1.233658, 0.375087, 1.000000, 0.456518, 61.600738, 1.982736, -2.823135, -1.000000, 30.277233, -0.061007, 3.084963, 0.436094, 2.762128, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
28.738980, -1.289325, -2.262149, 1.000000, 0.413554, 84.663617, -1.253602, 0.883158, 1.000000, 40.432465, -2.055380, 3.137879, 0.206769, 2.938538, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
58.204016, 0.666379, 0.533384, -1.000000, 0.218240, 59.823730, 1.644962, -3.136641, 1.000000, 14.912441, -0.666425, 2.613160, 1.199809, 2.470217, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
26.770932, -1.887656, 0.056919, 1.000000, 0.333322, 62.866449, -1.852271, 2.643870, 1.000000, 31.507482, -0.965612, 2.586951, 1.022531, 2.673704, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
28.635500, -0.443943, -1.342296, 1.000000, 0.806743, 30.676049, -1.342711, 1.602386, -1.000000, 0.674744, -1.189947, 2.944682, 0.152349, 2.792333, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
44.043980, 0.054366, 0.413354, 1.000000, 0.244746, 44.598363, 1.684263, -2.659398, 1.000000, 37.652410, -1.431788, 3.072752, 1.845142, 1.227610, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
45.321086, 1.613565, 2.371274, -1.000000, 0.279599, 54.792285, 1.766364, 0.224970, 1.000000, 42.244828, -2.030768, 2.146304, 1.881144, 2.255738, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
26.563873, 0.464226, 0.073446, -1.000000, 0.327422, 34.578242, 0.407379, 0.967973, -1.000000, 72.144668, -2.492577, 0.894528, 2.566023, 2.822635, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
25.033494, 0.311614, 0.100026, -1.000000, 0.190914, 37.782809, 1.782708, -0.201520, -1.000000, 64.231738, 2.710778, 0.301546, 2.610752, 2.912298, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
28.400809, -0.373256, -1.601673, 1.000000, 0.395032, 25.164498, -2.077113, -1.201049, 1.000000, 35.569719, 1.871256, 0.400624, 2.810257, 3.072305, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
32.132234, -0.107972, 0.333791, -1.000000, 0.446254, 30.136730, 0.719098, 2.773851, 1.000000, 33.767029, -1.557077, 2.440060, 1.890868, 1.952257, 0, Passed, Passed, Passed, Passed, NOPASS, NOPASS
31.204414, 0.849026, -1.436522, -1.000000, 0.512677, 36.477793, -1.056092, -0.145615, -1.000000, 49.828545, 2.368109, 1.290907, 2.478555, 2.513724, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
29.969846, 1.057626, -1.407829, -1.000000, 0.252191, 72.626656, 1.104740, 1.753949, -1.000000, 21.217361, -1.768036, 3.121407, 0.360208, 2.761199, 0, Passed, Passed, Passed, NOPASS, NOPASS, Passed
25.802943, -0.498263, -1.518752, -1.000000, 0.286868, 41.821695, 0.483421, -1.390172, 1.000000, 69.296472, 1.695996, 0.128581, 3.068437, 3.086168, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
27.569238, -0.647287, -2.931976, -1.000000, 0.200639, 38.821461, -0.911640, -0.434505, -1.000000, 12.090609, 1.742690, 2.497470, 1.608520, 2.177195, 0, Passed, Passed, Passed, NOPASS, NOPASS, NOPASS
26.017410, -1.951909, -1.398446, 1.000000, 0.333508, 43.293258, -1.198750, 2.172001, -1.000000, 14.656919, 0.478970, 2.712738, 1.877416, 1.693030, 0, Passed, Passed, Passed, Passed, NOPASS, NOPASS
30.264947, 0.170385, -1.829104, -1.000000, 0.263683, 36.890922, -0.159122, -2.621243, 1.000000, 56.559564, 0.552091, 0.792139, 2.381195, 3.109851, 0, Passed, Passed, Passed, Passed, Passed, NOPASS
27.457518, 0.009801, 0.591962, -1.000000, 0.587550, 25.782080, 1.954354, -2.517638, 1.000000, 2.714904, -3.078210, 3.109600, 2.613013, 0.560572, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
28.901807, 1.960630, 2.897555, 1.000000, 0.882192, 31.339051, 1.419987, -2.343074, 1.000000, 56.783198, 0.403149, 1.042556, 2.494407, 2.746223, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
26.619961, -1.312943, -1.047987, 1.000000, 0.459983, 36.128348, 0.149118, -1.658473, 1.000000, 5.340121, -0.586389, 0.610486, 0.461598, 1.072084, 0, Passed, Passed, Passed, NOPASS, Passed, Passed
64.018621, 0.990227, 0.654941, -1.000000, 0.414839, 41.205496, -2.202748, 0.902589, -1.000000, 24.723210, -3.114665, 0.247648, 2.513579, 2.265932, 0, Passed, Passed, Passed, NOPASS, Passed, NOPASS
27.731033, -0.061933, 2.462326, -1.000000, 0.565047, 39.125297, -0.285087, -0.754670, 1.000000, 58.013137, 2.771694, 3.066189, 0.309368, 2.756821, 0, Passed, Passed, Passed, Passed, NOPASS, Passed
