,SherpaFake,SherpaTruth,PoPyFake,PoPyTruth,Zmumu,VV
jet_FT_EFF_extrapolation_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_extrapolation_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.16929626464844,10143.659530639648,88.3666000366211,9462.949607849121,264.5936881005764,166.4598093032837
jet_FT_EFF_extrapolation_from_charm_1down_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_extrapolation_from_charm_1down_global_ineffSF_MV2c10_FixedCutBEff_85,123.31475067138672,10144.790336608887,88.37232971191406,9463.926040649414,264.5937186181545,166.60958290100098
jet_FT_EFF_extrapolation_from_charm_1up_global_effSF_MV2c10_FixedCutBEff_85,123.18302917480469,10144.645919799805,88.37232971191406,9463.809829711914,264.5937186181545,166.51404476165771
jet_FT_EFF_extrapolation_from_charm_1up_global_ineffSF_MV2c10_FixedCutBEff_85,123.05130004882812,10144.503448486328,88.37232971191406,9463.693618774414,264.5937186181545,166.41884231567383
jet_JET_JvtEfficiency_1down_central_jets_global_effSF_JVT,122.69789123535156,10107.629531860352,88.14664459228516,9434.796058654785,263.72729405760765,165.6629238128662
jet_JET_JvtEfficiency_1down_central_jets_global_ineffSF_JVT,123.50581359863281,10166.867141723633,88.5404281616211,9481.184959411621,265.0960074365139,167.07812881469727
jet_JET_JvtEfficiency_1up_central_jets_global_effSF_JVT,123.669921875,10181.7958984375,88.59819793701172,9492.896049499512,265.4623099267483,167.36936950683594
jet_JET_JvtEfficiency_1up_central_jets_global_ineffSF_JVT,122.81806182861328,10120.173530578613,88.18975830078125,9444.404602050781,264.0197440087795,165.88837814331055
jet_JET_fJvtEfficiency_1down_forward_jets_global_effSF_JVT,122.64759826660156,10112.028457641602,88.1254653930664,9441.149879455566,264.0621634423733,165.7392807006836
jet_JET_fJvtEfficiency_1down_forward_jets_global_ineffSF_JVT,123.43389129638672,10164.699516296387,88.37232971191406,9476.296157836914,265.12548741698265,166.96225833892822
jet_JET_fJvtEfficiency_1up_forward_jets_global_effSF_JVT,123.71959686279297,10177.400260925293,88.62197875976562,9486.538970947266,265.1276236474514,167.29610347747803
jet_JET_fJvtEfficiency_1up_forward_jets_global_ineffSF_JVT,122.93375396728516,10124.658363342285,88.37232971191406,9451.322525024414,264.06201085448265,166.0716314315796
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_STAT_1down_TauEffSF_LooseEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_STAT_1down_TauEffSF_MediumEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_STAT_1up_TauEffSF_LooseEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_STAT_1up_TauEffSF_MediumEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_SYST_1down_TauEffSF_LooseEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_SYST_1down_TauEffSF_MediumEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_SYST_1up_TauEffSF_LooseEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEELECTRON_EFF_ELEBDT_SYST_1up_TauEffSF_MediumEleBDT_electron,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEHADTAU_EFF_RECO_TOTAL_1down_TauEffSF_reco,123.18302917480469,10025.579513549805,88.37232971191406,9352.421157836914,264.5904978811741,164.65645503997803
tau_0_TAUS_TRUEHADTAU_EFF_RECO_TOTAL_1down_TauEffSF_selection,0.0,0.0,0.0,0.0,0.0,0.0
tau_0_TAUS_TRUEHADTAU_EFF_RECO_TOTAL_1up_TauEffSF_reco,123.18302917480469,10263.710372924805,88.37232971191406,9575.197525024414,264.5969393849373,168.37171077728271
tau_0_TAUS_TRUEHADTAU_EFF_RECO_TOTAL_1up_TauEffSF_selection,0.0,0.0,0.0,0.0,0.0,0.0
