SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
364105,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_BFilter,       108.98,      0.9751,            1.2052E-01,        1.
364108,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_BFilter,      39.892,      0.9751,            1.5628E-01,        1.
364111,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_BFilter,      8.5276,      0.9751,            1.7657E-01,        1.
364100,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CVetoBVeto,      1982.3,      0.9751,            8.2179E-01,        1.
364103,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CVetoBVeto,    109.07,      0.9751,            6.8978E-01,        1.
364106,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CVetoBVeto,   39.884,      0.9751,            6.0179E-01,        1.
364109,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CVetoBVeto,   8.526,       0.9751,            5.6012E-01,        1.
364113,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV1000_E_CMS,           0.14758,     0.9751,            1.0000E+00,        1.
364112,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV500_1000,             1.7871,      0.9751,            1.0000E+00,        1.
364101,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV0_70_CFilterBVeto,    1982.1,      0.9751,            1.1356E-01,        1.
364104,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV70_140_CFilterBVeto,  108.94,      0.9751,            1.9588E-01,        1.
364110,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV280_500_CFilterBVeto, 8.5261,      0.9751,            2.6632E-01,        1.
364107,    Sherpa_221_NNPDF30NNLO_Zmumu_MAXHTPTV140_280_CFilterBVeto, 39.857,      0.9751,            2.3545E-01,        1.

#tau
