,Sherpa,PoPy,VV
jet_FT_EFF_extrapolation_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429423.73944091797,467283.87310791016,8478.703929047566
jet_FT_EFF_extrapolation_from_charm_1up_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_extrapolation_from_charm_1up_global_ineffSF_MV2c10_FixedCutBEff_85,429472.58056640625,467314.22552490234,8473.995661835652
jet_JET_JvtEfficiency_1up_central_jets_global_effSF_JVT,431175.0701904297,468780.0618286133,8523.190058808308
jet_JET_JvtEfficiency_1up_central_jets_global_ineffSF_JVT,428149.50927734375,466223.59686279297,8446.188962082844
jet_JET_fJvtEfficiency_1up_forward_jets_global_effSF_JVT,431093.3944091797,468596.5388183594,8519.479264359456
jet_JET_fJvtEfficiency_1up_forward_jets_global_ineffSF_JVT,427848.0571899414,466036.36517333984,8438.890927414875
MET_SoftTrk_ResoPara,426154.73791503906,467667.0316772461,7945.78454504488
MET_SoftTrk_ResoPerp,428275.38513183594,467711.5758666992,7950.26469336031
MET_SoftTrk_Scale_1up,426356.0630493164,467714.59967041016,7928.162743668538
MUON_ID_1up,425962.97314453125,466974.7005004883,7923.937742233276
MUON_MS_1up,427058.73669433594,467292.6548461914,7920.454587936401
MUON_SAGITTA_RESBIAS_1up,428553.4998779297,469510.4812011719,7968.032642364502
MUON_SAGITTA_RHO_1up,428378.5437011719,467740.76971435547,7940.8414669036865
MUON_SCALE_1up,425843.6069946289,465535.2984008789,7930.9607791900635
JET_EtaIntercalibration_NonClosure_2018data_1up,426890.99798583984,467615.1343383789,7952.956679444294
JET_EtaIntercalibration_NonClosure_highE_1up,428211.65313720703,467708.3302001953,7952.343770127278
JET_EtaIntercalibration_NonClosure_negEta_1up,426826.7844238281,467800.69927978516,7942.705826859456
JET_EtaIntercalibration_NonClosure_posEta_1up,426609.9585571289,467597.9256591797,7948.28427992342
JET_Flavor_Response_1up,426756.19775390625,467820.20178222656,7943.3664506506175
JET_GroupedNP_1_1up,426205.9757080078,467466.9200439453,7922.909682427067
JET_GroupedNP_2_1up,427529.09759521484,467496.3336791992,7939.05127062276
JET_GroupedNP_3_1up,427149.5033569336,467778.0678100586,7945.155589215457
JET_JER_DataVsMC_MC16_1up,427728.2346801758,467878.5469970703,7947.8060295791365
JET_JER_EffectiveNP_1_1up,428371.23822021484,467855.2940673828,7960.643374684732
JET_JER_EffectiveNP_2_1up,427597.00592041016,467983.9161376953,7953.836392743979
JET_JER_EffectiveNP_3_1up,427715.1167602539,467624.12408447266,7924.3549264110625
JET_JER_EffectiveNP_4_1up,426823.9905395508,467697.67889404297,7946.158585635945
JET_JER_EffectiveNP_5_1up,427951.0297241211,467950.32135009766,7936.591370710172
JET_JER_EffectiveNP_6_1up,427739.0125732422,467527.54998779297,7963.691269991454
JET_JER_EffectiveNP_7restTerm_1up,427833.7555541992,467791.8474121094,7952.834527150728
JET_TILECORR_Uncertainty_1up,428593.6638183594,467763.42333984375,7935.13122473238
muon_0_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoLoose_FixedRad,429179.3059692383,467002.59045410156,8473.458810171578
muon_0_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoTightTrackOnly_FixedRad,428545.31689453125,466303.7430419922,8460.556616313756
muon_0_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoLoose_FixedRad,428765.97021484375,466555.79864501953,8464.03451720858
muon_0_MUON_EFF_ISO_SYS_1down_MuEffSF_IsoTightTrackOnly_FixedRad,428385.1669921875,466143.00872802734,8457.928992465138
muon_0_MUON_EFF_RECO_STAT_1down_MuEffSF_Reco_QualMedium,429254.3336791992,467077.0718383789,8477.011943522375
muon_0_MUON_EFF_RECO_STAT_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_0_MUON_EFF_RECO_SYS_1down_MuEffSF_Reco_QualMedium,428197.85388183594,465939.57135009766,8452.793064498343
muon_0_MUON_EFF_RECO_SYS_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muon_0_MUON_EFF_TTVA_STAT_1down_MuEffSF_TTVA,429238.23748779297,467059.33087158203,8476.677150165662
muon_0_MUON_EFF_TTVA_SYS_1down_MuEffSF_TTVA,429170.54235839844,466986.0860595703,8475.322348687332
muon_0_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429427.35290527344,467264.03381347656,8480.340981583577
muon_0_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,428909.8159790039,466699.0997314453,8469.963079217356
muon_0_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429388.5477294922,467221.4737548828,8479.485886673909
muon_0_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,428720.5131225586,466495.55767822266,8466.402176908217
muon_1_MUON_EFF_ISO_STAT_1down_MuEffSF_IsoLoose_FixedRad,429405.8062133789,467244.45013427734,8479.488227209542
